Type of Object,Average Grasp,Success 1,Success 2,Success 3,Average
Airplane,"[0.025994, 0.085052, 0.024438, -0.009569, -0.00058, 0.078127]",0.0,1.0,0.25,0.42
Couch,"[0.100061, 0.087923, 0.058965, 0.02769, 0.024548, 0.031827]",0.25,1.0,0.5,0.58
Candle,"[0.083031, 0.10528, 0.081427, -0.088221, 0.046102, -0.025775]",0.5,0.5,0.0,0.33
Loveseat,"[0.077544, 0.012507, 0.068527, -0.117641, 0.053829, 0.230616]",0.0,0.25,0.25,0.17
Fruit,"[0.191176, 0.079427, 0.113551, 0.0063, -0.0088, 0.040665]",0.25,1.0,0.0,0.42
Armoire,"[-0.304996, 0.202957, 0.089121, -0.029446, -0.109308, -0.1846]",0.25,0.25,0.5,0.33
Telephone,"[0.152538, 0.141471, 0.085597, 0.039159, 0.058335, -0.197745]",0.5,0.25,0.5,0.42
Shirt,"[0.297861, 0.037732, 0.151977, 0.004265, 0.032796, 0.158793]",1.0,0.0,0.25,0.42
TissueBox,"[0.662477, 2.343309, 0.134025, -0.057876, -0.112329, -0.236878]",0.5,0.0,0.5,0.33
QueenBed,"[0.034362, 0.04876, 0.044594, -0.039488, -0.023643, -0.005728]",0.5,0.25,0.25,0.33
Monitor,"[0.112468, 0.268007, 0.123998, -0.026157, 0.024225, 0.055287]",0.5,0.5,0.5,0.5
FoodItem,"[0.200791, 0.048453, 0.063289, 0.012362, 0.119591, 0.051991]",0.5,0.25,0.5,0.42
Barstool,"[-0.039164, 0.060432, 0.086197, -0.077109, -0.048015, 0.07744]",0.0,0.25,0.5,0.25
Basket,"[0.218461, 0.209264, 0.263966, -0.006847, 0.021508, 0.087329]",0.25,0.5,0.5,0.42
Refrigerator,"[0.020617, 0.016641, 0.022439, -0.056308, 0.039727, -0.081884]",1.0,0.5,0.5,0.67
TV,"[0.146626, 0.10572, 0.125838, 0.006703, 0.04352, -0.022408]",0.5,1.0,0.5,0.67
Speaker,"[0.125783, 0.057155, 0.093603, 0.19526, 0.007624, -0.079873]",1.0,0.25,0.25,0.5
OfficeChair,"[0.080816, 0.073527, 0.09497, -0.016154, -0.072658, -0.094409]",0.0,1.0,0.0,0.33
Chair,"[0.260186, 0.191077, 0.11076, -0.02925, 0.003659, -0.085563]",0.0,0.5,1.0,0.5
RoundTable,"[0.072509, 0.051469, 0.067926, 0.094996, -0.086053, 0.078039]",0.5,0.25,0.5,0.42
PottedPlant,"[0.153504, 0.076119, 0.106353, -0.113951, -0.032022, 0.163986]",0.5,0.5,1.0,0.67
CellPhone,"[0.041915, 0.313187, 0.174425, -0.124642, 0.020248, 0.141971]",0.5,1.0,0.25,0.58
