Type of Object,Average Grasp,Success 1,Success 2,Success 3,Average
DonutBox,"[0.0360027, 0.0958624, 0.0100384, 0.25091, -0.00461071, 0.129358]",0.0,0.0,0.25,0.08
Telephone,"[-0.0056571, 0.0806268, 0.064959, 0.295764, 0.000875343, 0.177197]",0.25,0.0,1.0,0.42
Airplane,"[0.0145369, 0.11939, 0.0135426, 0.0757362, 0.140401, 0.0451942]",0.0,0.0,0.0,0.0
Chair,"[0.198848, 0.205878, 0.106896, 0.510664, 0.0388453, 0.422396]",0.25,0.5,0.25,0.33
Rug,"[0.0446416, 0.0955425, 0.019782, 0.436211, -0.0403114, 0.393541]",0.5,0.25,1.0,0.58
Helicopter,"[-0.00454343, 0.0690556, -0.00191931, 0.0972944, 0.0859715, 0.121265]",0.0,0.25,0.25,0.17
7Shelves,"[0.00885718, 0.0878298, 0.0101915, 0.105389, 0.0388941, 0.0580888]",0.0,0.25,0.25,0.17
FloorLamp,"[-0.0464644, 0.0914491, -0.042115, 0.392, 0.0667395, 0.640385]",0.0,0.5,0.0,0.17
TV,"[0.02247612, 0.15126315, -0.00284535, 0.11772227, 0.1256676, 0.03606809]",0.25,0.5,0.0,0.25
TrashBin,"[0.0566893, 0.0513057, 2.11261e-05, 0.18414, -0.118563, -0.0599021]",0.5,1.0,0.0,0.5
Fish,"[-0.0464644, 0.0914491, -0.042115, 0.392, 0.0667395, 0.640385]",0.0,0.5,0.25,0.25
Canister,"[0.0437533, 0.159537, 0.0280593, 0.205619, -0.00173052, 0.0358128]",0.0,0.25,0.5,0.25
Oven,"[-0.0282303, 0.0958571, -0.00426469, 0.0925644, 0.0826167, -0.0620221]",0.5,0.0,0.25,0.25
RubiksCube,"[-0.00549969, 0.12634, 0.0306866, 0.172058, 0.0898557, 0.00314322]",0.25,0.5,0.0,0.25
Sheep,"[0.0155611, 0.155435, 0.00807997, 0.0437449, 0.0910215, 0.0977345]",0.25,0.25,0.5,0.33
DiscCase,"[0.0212777, 0.158412, 0.0633019, 0.150475, 0.180945, -0.0237335]",0.0,1.0,0.5,0.5
Couch,"[0.0131172, 0.077617, -0.00389474, -0.219921, -0.0113426, -0.323293]",0.0,0.25,0.0,0.08
Room,"[0.0164761, 0.0854695, -0.0246462, 0.225508, 0.0530708, -0.0258339]",0.25,0.5,0.0,0.25
Desk,"[0.0615608, 0.147201, 0.0014705, 0.162775, -0.00128547, 0.115763]",0.0,1.0,0.25,0.42
Eraser,"[0.0260184, 0.0666002, 0.0532205, 0.199428, -0.047016, 0.0753336]",0.25,0.0,0.5,0.25
Microwave,"[0.0279063, 0.139867, 0.0321037, 0.0463598, 0.107771, -0.0285588]",0.5,0.25,0.5,0.42
Dog,"[-0.0282303, 0.0958571, -0.00426469, 0.0925644, 0.0826167, -0.0620221]",0.25,0.25,0.25,0.25
Notepad,"[0.0734384, 0.188586, -0.0594891, 0.417762, -0.115343, 0.332727]",0.25,0.25,1.0,0.5
Loveseat,"[0.0176273, 0.119869, -0.0237909, -0.0705183, 0.0950482, -0.236718]",0.0,0.25,0.5,0.25
PotRack,"[0.109594, 0.129125, 0.0514749, 0.102982, 0.122502, 0.204672]",0.25,0.5,0.25,0.33
Keyboard,"[0.0303253, 0.146612, 0.00517789, 0.230929, 0.0585407, 0.137133]",0.5,0.0,0.0,0.17
Dresser,"[0.043671, 0.229036, 0.0298087, 0.209145, 0.0737961, 0.0346974]",1.0,1.0,0.5,0.83
Fruit,"[0.0303253, 0.146612, 0.00517789, 0.230929, 0.0585407, 0.137133]",0.5,0.5,0.5,0.5
SoapBottle,"[0.00885718, 0.0878298, 0.0101915, 0.105389, 0.0388941, 0.0580888]",0.5,0.25,0.25,0.33
Pan,"[-0.0390745, 0.0678011, 0.0305781, -0.0337422, 0.0533459, -0.0576785]",0.25,0.25,0.25,0.25
DraftingTable,"[0.0436322, 0.102463, 0.14952, 0.598858, -0.188503, 0.481996]",0.0,0.0,1.0,0.33
KneelingChair,"[0.0350832, -0.0363748, 0.0464161, -0.057833, 0.197336, -0.0770762]",0.0,0.25,0.5,0.25
StandingClock,"[0.00885718, 0.0878298, 0.0101915, 0.105389, 0.0388941, 0.0580888]",0.5,1.0,0.5,0.67
Sword,"[-0.0742077, 0.156941, -0.00192378, 0.26705, -0.275271, -0.0139119]",0.5,0.5,1.0,0.67
Plate,"[0.0155611, 0.155435, 0.00807997, 0.0437449, 0.0910215, 0.0977345]",0.0,0.25,0.0,0.08
Computer,"[-0.0560978, 0.0253889, 0.0372401, 0.108045, -0.0122332, -0.154906]",0.5,0.0,1.0,0.5
Spoon,"[0.0970372, 0.0588922, 0.0493386, 0.245799, -0.0188911, 0.145721]",0.0,0.0,0.25,0.08
PottedPlant,"[0.028547, 0.0565639, -0.0542973, -0.110165, 0.0796186, -0.34389]",0.25,0.0,0.0,0.08
Mug,"[0.0076557, 0.0955027, 0.0178522, 0.0974693, 0.0991942, 0.0958977]",0.0,1.0,0.0,0.33
BeerBottle,"[0.0131172, 0.077617, -0.00389474, -0.219921, -0.0113426, -0.323293]",0.25,0.25,0.5,0.33
Car,"[0.0446416, 0.0955425, 0.019782, 0.436211, -0.0403114, 0.393541]",0.5,0.0,1.0,0.5
Mirror,"[-0.0241109, 0.182132, -0.0101765, 0.161185, 0.0191223, -0.00140683]",0.25,0.5,0.25,0.33
Nightstand,"[0.0131172, 0.077617, -0.00389474, -0.219921, -0.0113426, -0.323293]",1.0,0.0,0.5,0.5
Painting,"[0.02247612, 0.15126315, -0.00284535, 0.11772227, 0.1256676, 0.03606809]",0.5,0.5,0.5,0.5
SingleBed,"[0.0272614, 0.11839, 0.0304668, 0.145062, 0.0657397, 0.0139928]",0.5,1.0,0.0,0.5
DecorativeAccessory,"[0.0734384, 0.188586, -0.0594891, 0.417762, -0.115343, 0.332727]",0.25,0.0,0.5,0.25
Watch,"[-0.0742077, 0.156941, -0.00192378, 0.26705, -0.275271, -0.0139119]",0.25,0.25,0.0,0.17
Whiteboard,"[0.0149416, 0.224374, -0.0502975, 0.386686, 0.0595446, 0.344879]",0.5,0.5,0.5,0.5
Gamecube,"[0.00899084, 0.0624826, -0.0232282, -0.0731237, 0.0647317, -0.257112]",1.0,0.0,0.25,0.42
Ottoman,"[0.0260184, 0.0666002, 0.0532205, 0.199428, -0.047016, 0.0753336]",0.5,0.25,0.0,0.25
Plant,"[0.00885718, 0.0878298, 0.0101915, 0.105389, 0.0388941, 0.0580888]",0.25,0.5,0.25,0.33
Chocolate,"[0.058827, 0.133064, -0.0199738, 0.180783, 0.0568773, 0.19469]",0.25,0.5,0.0,0.25
OfficeChair,"[0.0970372, 0.0588922, 0.0493386, 0.245799, -0.0188911, 0.145721]",0.25,0.0,0.0,0.08
Cup,"[0.0137862, 0.100257, 0.0320026, 0.100735, 0.0523882, -0.0194242]",0.5,0.25,0.0,0.25
